전정권이 연금손대고나니 이번정권은 역대급으로 공무원 뽑아버리기ㅋㅋㅋ 진짜꼴통 정부,99.39,0.32,0.28,중립
공무원만 늘리는 문정권,99.86,0.06,0.08,중립
연금이란자체를 없어져야되..,98.6,0.65,0.75,중립
"부정부패로 잘린 공무원은 연금 몰수하도록 법 바꾸자. 조현천 처럼 미국에 도망간 범죄자는 연금 끊자. 주소가 매달 체크 안되면 끊어라. 주소불명은 뭔가 문제가 있는거지. 특히 건축과, 토지과, 국토부, 주택공사 이런 쪽 공무원 비리 많다. 친인척에게 정부 주고 하니, 조국만큼 털어봐야 한다. 국가 제 1도둑이 전국에 있는 말단 공무원까지 다 살펴봐야 한다. 아직도 퇴근후 다시 와서 퇴근 체크후 야간수당 빼먹냐? 말단 공무원까지 해외연수로 전세계 여행하냐? 유학 자금은 왜 주냐?",98.73,1.1,0.17,중립
등신 문재인은 그래도 공무원을 늘린다 지 정권 유지 할려고 덕분에 공무원은 양반이라 철밥통에 팅자 팅자 알반 국민과 자영업다는 상놈이라 귀족 공무원 노후연금 실탄받이 하느라 버는 족족 문재인에게 수탈 당하는 더러운 나라,63.57,11.56,24.88,중립
공무원  민노총  전교조  철밥통은   먼지하나  못닦아내는  문재인의 경제개혁은    김정은  3대세습 북핵 안고서  평화타령 하는것과    같이  위선과  기만에  가득찬 쇼일  뿐이다,95.64,2.01,2.35,중립
국민  절반이  비정규직인  나라에서  국민평균의    8배  연금을   공무원이   국민세금으로     수령하는게 제정신인  나라냐?    문재인 개혁은  전부  엉터리다  민식이법갈은    감성법으로  국민에게  본질은  속이는 쇼만 하고 있다,99.66,0.29,0.05,중립
이러다 진심 나라 망하는건 아닌지 정말 걱정됩니다,98.21,0.58,1.21,중립
개혁은 필수다,99.83,0.11,0.07,중립
공무원 뽑을 빠에 공기업 늘려라  청년자금 수십조 그런거 공기업통해서 집행해라,99.89,0.05,0.06,중립
세금으로 메우지마라... 쓸데없이 공유원ㅈ늘려놓고서는...  군인은 줘라.,99.36,0.2,0.44,중립
이러한 형편성 없는 논리  공무원 연금  국민연금  다를게  뭐  있나요  제발  조절  하여  연금  으로  불안 하게  는  만들지  말어야지~~~,97.08,1.14,1.78,중립
"그니까 공무원 작작뽑아;;청년들한테 지지받고 싶어서 공무원 10만명이나 늘린 모양인데 그게 과연 나라를 위한 일이냐고;;; 당장의 투표수를 위해서 경제발전을 포기하다니. 이건 대통령만 탓할 게 아니라 안정적인 것만 추구하고 도전하는 것을 반대하도록 부추기는 , 지금 10-30대의 부모들 탓이 크다. 그들이 사회를 이따위로 만들었기에 다들 공무원에 매달리는 거다. 이래놓고 나라 경제발전 안되면 이 늙은이들은 또 청년탓을 하겠지. '나때는 말이야~민주화운동도 했었고~우리가 imf를 이겨내고 경제발전을 이룩하고~...' 진짜 극혐종자들",99.54,0.21,0.25,중립
공무원 증원을 주장하는 문재인은 정말 재앙덩어리구나...,98.33,0.9,0.77,중립
정권유지 위해  앞뒤안가리도 퍼주기 문재앙과 민좃당 문베충 대깨문들이  다 부담해라,99.7,0.19,0.11,중립
이나라.암덩어리같은존재.국회의원시원원 모두없애라.공무원절반으로감축하고,99.77,0.13,0.1,중립
다 좋은데 일좀 하는공무원들 뽑으세요..제발..면접서는 국가관 어쩌고 저쩌고 하면서 임용되면 닐리리가 되어 버리니,63.88,8.46,27.66,중립
아직도 60~70년도 박봉의 공무원이라 판단하는 정권들의 한심하고 한가한 생각이 결국은 혈세로 연금을 메꾸는 상황인데도 눈감고 귀막고 연금개혁에는 관심조차도 없다.게다다 이 정권은 더나아가 공무원 17만 4000명을 더뽑는다니 제정신이라면 이런짓을 못할것이다.공무원만 살판나는 나라라는 비아냥을 들어도 소귀에 경 읽기다. 정권욕에만 관심있지 표만 된다면 향후 국가재정이 어떻게 되던지는 관심조차없는 이런 짓거리는 나라 말아먹는 재앙을 초래할 것이다. 이 나라 공무원들이 아직도 배고프다고 생각하나?,99.3,0.45,0.25,중립
공무원연금 적자는 공무원들에게 세금 따따블로 더 걷어서 충당하면 되지 않나?,99.7,0.11,0.18,중립
마크롱이 나와애 돼,98.07,1.37,0.56,중립
"공무원,군인연금액너무많다. 반으로삭감하고개헉해라.국민혈세로 감당안된다.혈세지원반대다.",99.49,0.31,0.2,중립
"공무원,군인연금개혁해라.혈세지원중단해라.",99.4,0.35,0.25,중립
사정이 이런데 왜 공무원 더뽑나? 동사무소 널널하다,90.72,5.72,3.57,중립
특히 군인연금이 문제다. 공무원연금과 비교되지 않을만큼 액수도 많고 여러가지 누리는 혜택은 공분을 사기에 충분하다. 군시구테타로 정권탈취해서 지놈들이 유리하게 만든거지?  퇴직후 많은연금 수령하며 한다는짓이 극우댓글러 활동이나하고? 진보정부 종북몰이의 대다수가 군연금 수급자들 아닌가?,99.93,0.05,0.03,중립
공무원수너무많음  스위스도아니고 일자리창출을 세금으로 공무원수나늘리고 그렇다고 일처리잘하는것도아니고  공무원수 슬립하고 똑똑한게좋다,99.91,0.05,0.04,중립
"공무원 연금적자는 니들이메꿔라.니들이 지돈아니라고,제대로  알아보지도않고,아무대나  막투자하니까 적자나는거자나.국민연금도 글케만들어놓고...진짜  국민들피빨아먹을라고 환장한거같어.국민연금이 세금도아닌데, 연체료도 붙는거아십니까 국민여러분?",99.71,0.16,0.13,중립
"군대에서 일어나는 모든사건(예 허원근,김훈중위,임병장,윤일병등)뒤에는 부사관(싸이코,소시오 색마등 출신지역을 대표하는 꼬올통 고등학교 나온놈 중에서도 질떨어지는 개양아치들이 군대에 들러붙어 과거세탁.현재 약15만명 혈세로 밥,옷,아파트 주고 각종 혜택에 짬좀되면 1인당 매달 400+a씩 국민혈세 빨아처먹고 살며 그것도 모잘라 혈세에 환장해 온갖비리에 장교에게 덤비는 하극상과 지들보다 훨씬 바르게 산 똑똑한 사병들 개갈구고 뺀질되는 쓰레기등등.전역후 연금 매달 몇백만원씩 빨아처먹고사는 기생충들은 헤아릴수도 없음)이 반드시 관련되있다.",83.99,9.46,6.55,중립
"이게 제정신으로 이해 안가? 대통령은 청와대에서 자리보전에, 잠만 자는가? 온갖 욕을 먹더라도 군인.공무원 속히,연금개혁 해야함!  훗날,역사가 좋은 평가 할것. 싫으면 대통령을 당장 그만두시게—-",97.32,1.98,0.7,중립
