낙여니성이 그럴일 없어!!,28.82,19.22,51.96,긍정
수고 많으십니다!!  힘내셔요♡,0.02,0.02,99.96,긍정
"화이팅 입니다.
항상 응원합니다~~~",0.02,0.02,99.96,긍정
"이낙연   힘내세요 
응원합니다 화이팅입니다",0.03,0.02,99.95,긍정
"총리님!
잘하셨습니다 고맙습니다
힘내세요 화이팅",0.03,0.02,99.95,긍정
"대통령님, 항상  존경하고 감사드립니다.건강하세요 ^^♡",0.04,0.02,99.94,긍정
적극 지지하고 응원합니다  힘내세요,0.04,0.03,99.94,긍정
황교안 응원합니다  힘내시고 화이팅,0.04,0.02,99.94,긍정
"총리님 멋지십니다^^힘내십시요^^
끝까지 함께 하겠습니다~화이팅하세요^^",0.04,0.02,99.93,긍정
"응원하고 지지합니다
건강하세요~",0.05,0.03,99.92,긍정
이낙연 총리님 감사드립니다 화이팅입니다,0.06,0.03,99.91,긍정
든든한 대한민국 총리님 항상 지지 합니다^^,0.06,0.03,99.91,긍정
든든한 대한민국 총리님 항상 지지 합니다^^,0.06,0.03,99.91,긍정
총리님  통쾌한 말씀넘감사합니다   존경합니다   화이팅 입니다   건강하세요,0.05,0.04,99.91,긍정
"화이팅!!!!
응원합니다!!",0.06,0.03,99.91,긍정
이낙연 총리님 언제나 응원합니다. 건강도 잘 챙기세요!!,0.06,0.04,99.9,긍정
건강관리 잘하셔요,0.06,0.04,99.9,긍정
황교안  응원합니다^^  힘내세요~,0.06,0.04,99.9,긍정
너무 좋은 두분 항상건강 하세요,0.06,0.05,99.89,긍정
힘내세요응원합니다!,0.07,0.05,99.88,긍정
응원하고감사합니다!!,0.07,0.05,99.88,긍정
"응원합니다  총리님~~
총리님은 문대통령님과 국민의 신의 한수 이십니다
사랑합니다 총리님~~",0.09,0.04,99.87,긍정
총리님~♡응원 하겠습니다^^,0.08,0.05,99.87,긍정
총리님~♡응원 하겠습니다^^,0.08,0.05,99.87,긍정
황교안님.힘내세요. 화이팅!!!,0.09,0.05,99.87,긍정
응원합니다! 화이팅입니다!,0.08,0.05,99.87,긍정
추장관님 힘내세요^^  화이팅,0.09,0.05,99.86,긍정
윤석열총장님~항상 믿고 응원합니다^^,0.09,0.05,99.86,긍정
이낙연 총리님 지지하고 응원합니다 힘내세요 화이팅 기대할게요,0.09,0.05,99.86,긍정
힘내십시요 대표님 추우신데  고생이  많으시네요  회이팅 입니다,0.09,0.06,99.85,긍정
"이총리님
힘내셔요
항상응원하고 지지합니다",0.08,0.06,99.85,긍정
꼭! 건강 유의하시고 코로나 잡아주세요 ㅠㅡㅠ 정말 감사합니다!!,0.09,0.07,99.85,긍정
황교안 대표님 응원합니다 화이팅 입니다,0.1,0.05,99.84,긍정
총리님 힘내세요. 홧팅.  든든한 총리님이 계셔  행복합니다.,0.12,0.06,99.83,긍정
"총리님 건강도 챙기셔요 그리고

큰 꿈 꾸셔요^^",0.11,0.06,99.83,긍정
함께합니다 응원드립니다 고맙습니다...^^*,0.09,0.08,99.83,긍정
"안철수  힘내세요
화이팅",0.11,0.06,99.83,긍정
든든한 이낙연 총리님~ 응원합니다^^,0.12,0.05,99.83,긍정
"이재명지사님 고생 많으십니다
항상응원합니다^^",0.1,0.08,99.82,긍정
이낙연 총리님 언제나 응원하겠습니다 지금도 너무멋져용♡,0.12,0.06,99.82,긍정
