내가 니들한테. 해주고싶은 말들을 정확하게 짚더라 그게 자한당의 재주인가? 능력인가? 총선때 보자,중립
진짜 이것들 민주주의역적 이낙연,부정
더불어 민주당 더 이상 존재할 가치를 잃었다 해산하고 총선을 실시하여 국민들의 심판을 받아야 한다,부정
제정신인가 제들이 똥싸놓고 악 쓴다 황교안,긍정
노고가  많습니다. 자한당,부정
더불어민주당 우리나라에서 제일로 휼륭한 분입니다 힘내세요  화이팅~~,긍정
총리 검찰 수사부터 받아야지,부정
황교안 참 할일 없나봐,긍정
문재인 솔직하게 사과해라 빙빙돌려서 변명하지말고!,부정
새해 첫날부터  염장지르네 . 청와대랑,중립
이런 흑백논리는 안되지  내편 아니면 적이다  이건 패망의 길이야 한국당봐라 여러 목소리를 듣는것도  왜 반대하는지도  듣고 참고하길 바란다,중립
부디 나쁜짓그만해라 자한당,긍정
"니들 정부때는 뭐하고 이제와서 일하는척 질이냐?? 니들은 항상 그래. 힘있는 정당을때는 온갖비리로 배때지 채우고, 그 힘을 뺏기면 국민을 위하는 척, 말도 안되는 소리로 꼬투리 잡고, 니들 오래된 비리 의원들 잡혀가는거 봐라. 제대로 된 새끼가 있냐?? 자한당",긍정
어 휴~~ 냄새 자한당,긍정
문재인 진짜 개극혐,부정
"시속 30  생각 해봐야된다. 왕복 2차선 도로,아파트 도로 이해한다. 당연히 뛰어나오는 아이를 피해서라도 속도를 줄여야한다. 근데 왕복 4차선 이상으로 시속30킬로가 몇백미터 설정되어있는데 그런곳은 아이들이 뛰어나오지도 않으니 설치 반대합니다.",중립
야..넌 단식 안 하냐? 더불어 민주당,부정
진짜 더럽다 이쉐기야 더불어 민주당,부정
그런 개소리가 먹힐거라 생각하는 돌대가리 자한당,긍정
베리 굿 자한당,부정
돈에 눈이 멀어서 제정신이 아님 더불어 민주당,부정
민생이 최우선이란 ㅅㄲ가 본인 아들 지역구 공천받으려고 총선 앞두고 선거법 날치기 통과시켰냐?? 얼마나 쳐먹었는지 돼지 ㅅㄲ 이낙연,부정
문재인 하는짓이 다글치...감성팔이 쇼 이젠 안통한다..,부정
문재인 파고 또 파면 너도 걸릴게 한두가지겟냐,부정
니가 뭔데 판단하고 ㅈㄹ삥이냐??? 입만 살아가지고는 논리도 없는 개 ㅅㄹ나 지껄이면서 ㅋㅋㅋㅋ 그만좀 나대라 진짜^^ 욕 먹고 그렇게 오래 살고 싶은게 니 소원이냐???? 더불어 민주당,부정
더불어 민주당 하는 게 다 그렇다. 국정을 맡겼다가는 완전 말아 먹을 넘이다.,부정
잘한다. 황교안,부정
당론에 안따르면 다음에 공천받지말고 무소속으로 나오면 되겠네,중립
