comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1879631383	gorr****	망조구나 나라가	2019-10-07T19:20:47+0900	0	0
1879086363	socc****	조국 대선 ㅋㅋㅋㅋㅋ 멋지다 OOO들	2019-10-07T11:45:04+0900	0	0
1878863523	hjk1****	이 미친 기자 좀 만나자. 짱돌 손에 가지고 갈께..	2019-10-07T08:53:20+0900	0	0
1875480243	shy1****	이정도면.막가네 미쳐돌아고있군 .	2019-10-04T08:01:07+0900	1	0
1875459163	cis5****	대선 꿈도  꾸지말지  법이 무섭지도 않나 ?  하긴 무서우면 이지경까지 오겠나  ᆢ	2019-10-04T07:40:40+0900	0	0
1875452443	asd4****	한겨레 뉴스맞냐	2019-10-04T07:33:21+0900	1	0
1875448653	gspd****	놀고있네..아마 연방제 대선후보 순위가 1위 김정은 2위 이낙연 3위 조국 순이면 이해되네..	2019-10-04T07:28:52+0900	1	0
1875367043	dirt****	김미나 기자야  ? 너도 아주 미쳤구나 조국이를  어디에 ? 너도 기레기구나ㆍ독자를 우롱하는 기자는 기레기 일수밖에 없다ㆍ	2019-10-04T04:40:51+0900	1	0
1875356153	dann****	아무 의미없다. 맹목적 좌파들이 몰리는 것 뿐이니 그게 한계다.	2019-10-04T04:01:40+0900	0	0
1875344743	iamd****	황기자. 은근히 글을  그렇게   몰아가는데...잘생각하고  기지다밥게  양심껏 쓰시길. ...충남지사는  마누라 한명을  속였지만  조국 이양반은  오천만명을  속였고,  지금도 속이는 중임.  이런  자를  은근히  미는  그대는 나라를  팔고 있다.	2019-10-04T03:24:32+0900	1	1
1875342933	chok****	ㅋㅋ 응 리얼미터 믿고 거를께^^ 쓰레기 조작미터~	2019-10-04T03:19:53+0900	0	0
1875328723	dksr****	이낙연총리 국회답변이 솔직하지 못한내용이 부끄럽게 다가왔네요.윤석열검찰총장이 조국이법무부장관에 임명하면 않된다는 내용을 보고했다는 내용.모르거나 아는사실이 없다면될일을 알려드릴수 없다는 논조로 마치 그런것처럼 비춰지더군요.어떤일이든 사실관계를 정확하게 고지해주는 지도자의 모습이 아쉽지요.	2019-10-04T02:44:58+0900	0	0
1875315363	harm****	조국? 미친거 아니야? 어디 범죄자를!  저 여론조사는 정말 믿을게 못된다.. 아님 좌파가 조작 선동을 잘해서 그런감...	2019-10-04T02:16:45+0900	4	0
1875309893	tjrw****	아주 미친 쓰레기 기사네	2019-10-04T02:06:26+0900	1	0
1875291753	hjsh****	자한당벌써다음동원비용걱정한다던데.. 태풍땜에나라가어떤상황인지1도관심없고.자꾸헛돈쓸꺼야? 검찰이부르는데니들은왜협조안하는건데? 황교안아저씨자진해서자기목을치라고 소리만뻥뻥ㅋ치던데 검찰이망나니짓하는거인정하는거?	2019-10-04T01:35:57+0900	1	6
